2025-11-18 13:41:06,969 - ERROR - Error processing response_20240819_000824_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,971 - ERROR - Error processing response_20240819_000921_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,973 - ERROR - Error processing response_20240819_001019_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,974 - ERROR - Error processing response_20240819_001115_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,976 - ERROR - Error processing response_20240819_001213_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,977 - ERROR - Error processing response_20240819_001407_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,978 - ERROR - Error processing response_20240819_001504_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,980 - ERROR - Error processing response_20240819_001601_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,982 - ERROR - Error processing response_20240819_001658_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,983 - ERROR - Error processing response_20240819_001755_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,985 - ERROR - Error processing response_20240819_001852_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,986 - ERROR - Error processing response_20240819_001949_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,988 - ERROR - Error processing response_20240819_002046_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,989 - ERROR - Error processing response_20240819_002143_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,991 - ERROR - Error processing response_20240819_002240_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,993 - ERROR - Error processing response_20240819_002337_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,994 - ERROR - Error processing response_20240819_002434_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,996 - ERROR - Error processing response_20240819_002531_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,997 - ERROR - Error processing response_20240819_002628_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,999 - ERROR - Error processing response_20240819_002725_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,000 - ERROR - Error processing response_20240819_002822_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,002 - ERROR - Error processing response_20240819_003016_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,004 - ERROR - Error processing response_20240819_003113_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:07,005 - ERROR - Error processing response_20240819_003210_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
